bank_txn_id,txn_date,value_date,description,reference,debit,credit
BANK-7001,2026-08-18,2026-08-18,NOVA PAYMENT INV1001,NEFT-1,0,295000.0
BANK-7002,2026-08-11,2026-08-11,ACME PAYMENT INV1002,NEFT-2,0,88500.0
BANK-7003,2026-08-24,2026-08-24,APEX PAYMENT INV1003,NEFT-3,0,31860.0
BANK-7503,2026-08-25,2026-08-25,APEX PAYMENT INV1003,NEFT-3B,0,21240.0
BANK-7004,2026-08-23,2026-08-23,APEX PAYMENT INV1004,NEFT-4,0,287500.0
BANK-7005,2026-08-07,2026-08-07,ACME PAYMENT INV1005,NEFT-5,0,143812.5
BANK-7006,2026-08-12,2026-08-12,BHARAT PAYMENT INV1006,NEFT-6,0,236000.0
BANK-7007,2026-08-03,2026-08-03,BLUESKY PAYMENT INV1007,NEFT-7,0,143812.5
BANK-7008,2026-08-06,2026-08-06,ZENITH PAYMENT INV1008,NEFT-8,0,143812.5
BANK-7009,2026-08-13,2026-08-13,NOVA PAYMENT INV1009,NEFT-9,0,53100.0
BANK-7509,2026-08-14,2026-08-14,NOVA PAYMENT INV1009,NEFT-9B,0,35400.0
BANK-7010,2026-08-12,2026-08-12,MERIDIAN PAYMENT INV1010,NEFT-10,0,295000.0
BANK-7011,2026-08-14,2026-08-14,BHARAT PAYMENT INV1011,NEFT-11,0,147500.0
BANK-7012,2026-08-15,2026-08-15,ACME PAYMENT INV1012,NEFT-12,0,53100.0
BANK-7013,2026-08-05,2026-08-05,BLUESKY PAYMENT INV1013,NEFT-13,0,86287.5
BANK-7014,2026-08-21,2026-08-21,BLUESKY PAYMENT INV1014,NEFT-14,0,88500.0
BANK-7015,2026-08-22,2026-08-22,ZENITH PAYMENT INV1015,NEFT-15,0,236000.0
BANK-7016,2026-08-11,2026-08-11,ZENITH PAYMENT INV1016,NEFT-16,0,147500.0
BANK-7017,2026-08-20,2026-08-20,GLOBAL PAYMENT INV1017,NEFT-17,0,295000.0
BANK-7018,2026-08-04,2026-08-04,ORION PAYMENT INV1018,NEFT-18,0,106200.0
BANK-7518,2026-08-05,2026-08-05,ORION PAYMENT INV1018,NEFT-18B,0,70800.0
BANK-7019,2026-08-20,2026-08-20,MERIDIAN PAYMENT INV1019,NEFT-19,0,115640.0
BANK-7020,2026-08-05,2026-08-05,ACME PAYMENT INV1020,NEFT-20,0,29500.0
BANK-7021,2026-08-03,2026-08-03,BHARAT PAYMENT INV1021,NEFT-21,0,177000.0
BANK-7022,2026-08-12,2026-08-12,ZENITH PAYMENT INV1022,NEFT-22,0,147500.0
BANK-7023,2026-08-22,2026-08-22,ORION PAYMENT INV1023,NEFT-23,0,53100.0
BANK-7523,2026-08-23,2026-08-23,ORION PAYMENT INV1023,NEFT-23B,0,35400.0
BANK-7024,2026-08-18,2026-08-18,ORION PAYMENT INV1024,NEFT-24,0,236000.0
BANK-7025,2026-08-07,2026-08-07,BHARAT PAYMENT INV1025,NEFT-25,0,236000.0
BANK-7026,2026-08-15,2026-08-15,APEX PAYMENT INV1026,NEFT-26,0,295000.0
BANK-7027,2026-08-07,2026-08-07,BHARAT PAYMENT INV1027,NEFT-27,0,236000.0
BANK-7028,2026-08-11,2026-08-11,ORION PAYMENT INV1028,NEFT-28,0,115640.0
BANK-7029,2026-08-17,2026-08-17,NOVA PAYMENT INV1029,NEFT-29,0,88500.0
BANK-7030,2026-08-15,2026-08-15,BLUESKY PAYMENT INV1030,NEFT-30,0,53100.0
BANK-7031,2026-08-03,2026-08-03,BHARAT PAYMENT INV1031,NEFT-31,0,29500.0
BANK-7032,2026-08-10,2026-08-10,ORION PAYMENT INV1032,NEFT-32,0,236000.0
BANK-7033,2026-08-08,2026-08-08,BLUESKY PAYMENT INV1033,NEFT-33,0,236000.0
BANK-7034,2026-08-17,2026-08-17,NOVA PAYMENT INV1034,NEFT-34,0,29500.0
BANK-7035,2026-08-19,2026-08-19,VERTEX PAYMENT INV1035,NEFT-35,0,147500.0
