payment_id,invoice_id,customer_id,payment_date,amount,payment_method,reference
PAY-5001,INV-1001,C003,2026-08-17,295000.0,Gateway,INV-1001
PAY-5002,INV-1002,C001,2026-08-10,88500.0,Gateway,INV-1002
PAY-5003,INV-1003,C007,2026-08-23,31860.0,Gateway,INV-1003
PAY-5503,INV-1003,C007,2026-08-24,21240.0,Gateway,INV-1003
PAY-5004,INV-1004,C007,2026-08-22,287500.0,Gateway,INV-1004
PAY-5005,INV-1005,C001,2026-08-06,147500.0,Gateway,INV-1005
PAY-5006,INV-1006,C002,2026-08-11,236000.0,Gateway,INV-1006
PAY-5007,INV-1007,C008,2026-08-02,147500.0,Gateway,INV-1007
PAY-5008,INV-1008,C009,2026-08-05,147500.0,Gateway,INV-1008
PAY-5009,INV-1009,C003,2026-08-12,53100.0,Gateway,INV-1009
PAY-5509,INV-1009,C003,2026-08-13,35400.0,Gateway,INV-1009
PAY-5010,INV-1010,C010,2026-08-11,295000.0,Gateway,INV-1010
PAY-5011,INV-1011,C002,2026-08-13,147500.0,Gateway,INV-1011
PAY-5012,INV-1012,C001,2026-08-14,53100.0,Gateway,INV-1012
PAY-5013,INV-1013,C008,2026-08-04,88500.0,Gateway,INV-1013
PAY-5014,INV-1014,C008,2026-08-20,88500.0,Gateway,INV-1014
PAY-5015,INV-1015,C009,2026-08-21,236000.0,Gateway,INV-1015
PAY-5016,INV-1016,C009,2026-08-10,147500.0,Gateway,INV-1016
PAY-5017,INV-1017,C006,2026-08-19,295000.0,Gateway,INV-1017
PAY-5018,INV-1018,C004,2026-08-03,106200.0,Gateway,INV-1018
PAY-5518,INV-1018,C004,2026-08-04,70800.0,Gateway,INV-1018
PAY-5019,INV-1019,C010,2026-08-19,115640.0,Gateway,INV-1019
PAY-5020,INV-1020,C001,2026-08-04,29500.0,Gateway,INV-1020
PAY-5021,INV-1021,C002,2026-08-02,177000.0,Gateway,INV-1021
PAY-5022,INV-1022,C009,2026-08-11,147500.0,Gateway,INV-1022
PAY-5023,INV-1023,C004,2026-08-21,53100.0,Gateway,INV-1023
PAY-5523,INV-1023,C004,2026-08-22,35400.0,Gateway,INV-1023
PAY-5024,INV-1024,C004,2026-08-17,236000.0,Gateway,INV-1024
PAY-5025,INV-1025,C002,2026-08-06,236000.0,Gateway,INV-1025
PAY-5026,INV-1026,C007,2026-08-14,295000.0,Gateway,INV-1026
PAY-5027,INV-1027,C002,2026-08-06,236000.0,Gateway,INV-1027
PAY-5028,INV-1028,C004,2026-08-10,115640.0,Gateway,INV-1028
PAY-5029,INV-1029,C003,2026-08-16,88500.0,Gateway,INV-1029
PAY-5030,INV-1030,C008,2026-08-14,53100.0,Gateway,INV-1030
PAY-5031,INV-1031,C002,2026-08-02,29500.0,Gateway,INV-1031
PAY-5032,INV-1032,C004,2026-08-09,236000.0,Gateway,INV-1032
PAY-5033,INV-1033,C008,2026-08-07,236000.0,Gateway,INV-1033
PAY-5034,INV-1034,C003,2026-08-16,29500.0,Gateway,INV-1034
PAY-5035,INV-1035,C005,2026-08-18,147500.0,Gateway,INV-1035
PAY-5036,INV-1036,C009,2026-08-17,88500.0,Gateway,INV-1036
PAY-5037,INV-1037,C005,2026-08-07,29500.0,Gateway,INV-1037
PAY-5038,INV-1038,C006,2026-08-05,29500.0,Gateway,INV-1038
PAY-5039,INV-1039,C009,2026-08-17,88500.0,Gateway,INV-1039
PAY-5040,INV-1040,C009,2026-08-03,88500.0,Gateway,INV-1040
PAY-5041,INV-1041,C010,2026-08-06,115640.0,Gateway,INV-1041
PAY-5042,INV-1042,C002,2026-08-19,115640.0,Gateway,INV-1042
PAY-5043,INV-1043,C010,2026-08-08,236000.0,Gateway,INV-1043
PAY-5044,INV-1044,C004,2026-08-13,115640.0,Gateway,INV-1044
PAY-5045,INV-1045,C007,2026-08-08,147500.0,Gateway,INV-1045
PAY-5046,INV-1046,C006,2026-08-06,29500.0,Gateway,INV-1046
PAY-5047,INV-1047,C010,2026-08-19,53100.0,Gateway,INV-1047
PAY-5048,INV-1048,C009,2026-08-08,147500.0,Gateway,INV-1048
PAY-5049,INV-1049,C006,2026-08-05,69384.0,Gateway,INV-1049
PAY-5549,INV-1049,C006,2026-08-06,46256.0,Gateway,INV-1049
PAY-5050,INV-1050,C005,2026-08-08,295000.0,Gateway,INV-1050
PAY-5051,INV-1051,C010,2026-08-23,29500.0,Gateway,INV-1051
PAY-5052,INV-1052,C002,2026-08-05,147500.0,Gateway,INV-1052
PAY-5053,INV-1053,C002,2026-08-20,88500.0,Gateway,INV-1053
PAY-5054,INV-1054,C005,2026-08-22,115640.0,Gateway,INV-1054
PAY-5055,INV-1055,C004,2026-08-24,147500.0,Gateway,INV-1055
PAY-5056,INV-1056,C005,2026-08-05,53100.0,Gateway,INV-1056
PAY-5057,INV-1057,C005,2026-08-04,28762.5,Gateway,INV-1057
PAY-5058,INV-1058,C005,2026-08-09,295000.0,Gateway,INV-1058
PAY-5059,INV-1059,C009,2026-08-01,53100.0,Gateway,INV-1059
PAY-5060,INV-1060,C003,2026-08-20,29500.0,Gateway,INV-1060
PAY-5061,INV-1061,C010,2026-08-21,88500.0,Gateway,INV-1061
PAY-5062,INV-1062,C003,2026-08-04,147500.0,Gateway,INV-1062
PAY-5063,INV-1063,C001,2026-08-13,115640.0,Gateway,INV-1063
PAY-5064,INV-1064,C002,2026-08-13,236000.0,Gateway,INV-1064
PAY-5065,INV-1065,C004,2026-08-09,88500.0,Gateway,INV-1065
PAY-5066,INV-1066,C001,2026-08-09,177000.0,Gateway,INV-1066
PAY-5067,INV-1067,C004,2026-08-09,88500.0,Gateway,INV-1067
PAY-5068,INV-1068,C007,2026-08-03,295000.0,Gateway,INV-1068
PAY-5069,INV-1069,C004,2026-08-17,177000.0,Gateway,INV-1069
PAY-5070,INV-1070,C004,2026-08-09,29500.0,Gateway,INV-1070
PAY-5071,INV-1071,C007,2026-08-11,147500.0,Gateway,INV-1071
PAY-5072,INV-1072,C005,2026-08-14,236000.0,Gateway,INV-1072
PAY-5073,INV-1073,C001,2026-08-05,147500.0,Gateway,INV-1073
PAY-5074,INV-1074,C010,2026-08-09,29500.0,Gateway,INV-1074
PAY-5075,INV-1075,C010,2026-08-16,177000.0,Gateway,INV-1075
PAY-5076,INV-1076,C007,2026-08-23,31860.0,Gateway,INV-1076
PAY-5576,INV-1076,C007,2026-08-24,21240.0,Gateway,INV-1076
PAY-5077,INV-1077,C010,2026-08-07,147500.0,Gateway,INV-1077
PAY-5078,INV-1078,C007,2026-08-03,112749.0,Gateway,INV-1078
PAY-5079,INV-1079,C002,2026-08-11,106200.0,Gateway,INV-1079
PAY-5579,INV-1079,C002,2026-08-12,70800.0,Gateway,INV-1079
PAY-5080,INV-1080,C005,2026-08-20,147500.0,Gateway,INV-1080
PAY-5081,INV-1081,C006,2026-08-14,147500.0,Gateway,INV-1081
PAY-5082,INV-1082,C004,2026-08-15,236000.0,Gateway,INV-1082
PAY-5083,INV-1083,C010,2026-08-22,147500.0,Gateway,INV-1083
PAY-5084,INV-1084,C009,2026-08-03,147500.0,Gateway,INV-1084
PAY-5085,INV-1085,C004,2026-08-17,177000.0,Gateway,INV-1085
PAY-5086,INV-1086,C008,2026-08-18,108140.0,Gateway,INV-1086
PAY-5087,INV-1087,C003,2026-08-05,147500.0,Gateway,INV-1087
PAY-5088,INV-1088,C002,2026-08-09,147500.0,Gateway,INV-1088
PAY-5089,INV-1089,C004,2026-08-05,27000.0,Gateway,INV-1089
PAY-5090,INV-1090,C008,2026-08-23,53100.0,Gateway,INV-1090
PAY-5091,INV-1091,C007,2026-08-24,115640.0,Gateway,INV-1091
PAY-5092,INV-1092,C008,2026-08-14,115640.0,Gateway,INV-1092
PAY-5093,INV-1093,C001,2026-08-08,236000.0,Gateway,INV-1093
PAY-5094,INV-1094,C009,2026-08-16,29500.0,Gateway,INV-1094
PAY-5095,INV-1095,C002,2026-08-18,88500.0,Gateway,INV-1095
PAY-5096,INV-1096,C009,2026-08-21,177000.0,Gateway,INV-1096
PAY-5097,INV-1097,C010,2026-08-20,141600.0,Gateway,INV-1097
PAY-5597,INV-1097,C010,2026-08-21,94400.0,Gateway,INV-1097
PAY-5098,INV-1098,C003,2026-08-20,295000.0,Gateway,INV-1098
PAY-5099,INV-1099,C005,2026-08-18,295000.0,Gateway,INV-1099
PAY-5100,INV-1100,C005,2026-08-17,53100.0,Gateway,INV-1100
PAY-5101,INV-1101,C004,2026-08-11,177000.0,Gateway,INV-1101
PAY-5102,INV-1102,C009,2026-08-04,88500.0,Gateway,INV-1102
PAY-5103,INV-1103,C004,2026-08-14,86287.5,Gateway,INV-1103
PAY-5104,INV-1104,C007,2026-08-17,177000.0,Gateway,INV-1104
PAY-5105,INV-1105,C007,2026-08-05,115640.0,Gateway,INV-1105
PAY-5106,INV-1106,C007,2026-08-24,29500.0,Gateway,INV-1106
PAY-5107,INV-1107,C001,2026-08-15,147500.0,Gateway,INV-1107
PAY-5108,INV-1108,C007,2026-08-21,115640.0,Gateway,INV-1108
PAY-5109,INV-1109,C004,2026-08-12,236000.0,Gateway,INV-1109
PAY-5110,INV-1110,C001,2026-08-16,177000.0,Gateway,INV-1110
PAY-5111,INV-1111,C003,2026-08-15,88500.0,Gateway,INV-1111
PAY-5112,INV-1112,C007,2026-08-19,22000.0,Gateway,INV-1112
PAY-5113,INV-1113,C007,2026-08-06,295000.0,Gateway,INV-1113
PAY-5114,INV-1114,C001,2026-08-11,236000.0,Gateway,INV-1114
PAY-5115,INV-1115,C004,2026-08-17,177000.0,Gateway,INV-1115
PAY-5116,INV-1116,C007,2026-08-11,236000.0,Gateway,INV-1116
PAY-5117,INV-1117,C002,2026-08-16,29500.0,Gateway,INV-1117
PAY-5118,INV-1118,C006,2026-08-08,53100.0,Gateway,INV-1118
PAY-5119,INV-1119,C001,2026-08-08,115640.0,Gateway,INV-1119
PAY-5120,INV-1120,C010,2026-08-10,115640.0,Gateway,INV-1120
