gateway_payment_id,merchant_ref,payer_name,payment_date,gross_amount,fee,net_amount,currency,status
PG-8001,INV1001,Nova Retail Solutions,2026-08-17,295000.0,0.0,295000.0,INR,Captured
PG-8002,INV1002,Acme Industries Limited,2026-08-10,88500.0,0.0,88500.0,INR,Captured
PG-8003,INV1003,Apex Infrastructure Ltd,2026-08-23,31860.0,0.0,31860.0,INR,Captured
PG-8503,INV1003,Apex Infrastructure Ltd,2026-08-24,21240.0,0.0,21240.0,INR,Captured
PG-8004,INV1004,Apex Infrastructure Ltd,2026-08-22,295000.0,0.0,287500.0,INR,Captured
PG-8005,INV1005,Acme Industries Limited,2026-08-06,147500.0,3687.5,143812.5,INR,Captured
PG-8006,INV1006,Bharat Manufacturing Pvt Ltd,2026-08-11,236000.0,0.0,236000.0,INR,Captured
PG-8007,INV1007,BlueSky Logistics India,2026-08-02,147500.0,3687.5,143812.5,INR,Captured
PG-8008,INV1008,Zenith Consumer Products,2026-08-05,147500.0,3687.5,143812.5,INR,Captured
PG-8009,INV1009,Nova Retail Solutions,2026-08-12,53100.0,0.0,53100.0,INR,Captured
PG-8509,INV1009,Nova Retail Solutions,2026-08-13,35400.0,0.0,35400.0,INR,Captured
PG-8010,INV1010,Meridian Energy Services,2026-08-11,295000.0,0.0,295000.0,INR,Captured
PG-8011,INV1011,Bharat Manufacturing Pvt Ltd,2026-08-13,147500.0,0.0,147500.0,INR,Captured
PG-8012,INV1012,Acme Industries Limited,2026-08-14,53100.0,0.0,53100.0,INR,Captured
PG-8013,INV1013,BlueSky Logistics India,2026-08-04,88500.0,2212.5,86287.5,INR,Captured
PG-8014,INV1014,BlueSky Logistics India,2026-08-20,88500.0,0.0,88500.0,INR,Captured
PG-8015,INV1015,Zenith Consumer Products,2026-08-21,236000.0,0.0,236000.0,INR,Captured
PG-8016,INV1016,Zenith Consumer Products,2026-08-10,147500.0,0.0,147500.0,INR,Captured
PG-8017,INV1017,Global Components Pvt Ltd,2026-08-19,295000.0,0.0,295000.0,INR,Captured
PG-8018,INV1018,Orion Industrial Holdings,2026-08-03,106200.0,0.0,106200.0,INR,Captured
PG-8518,INV1018,Orion Industrial Holdings,2026-08-04,70800.0,0.0,70800.0,INR,Captured
PG-8019,INV1019,Meridian Energy Services,2026-08-19,115640.0,0.0,115640.0,INR,Captured
PG-8020,INV1020,Acme Industries Ltd,2026-08-04,29500.0,0.0,29500.0,INR,Captured
PG-8021,INV1021,Bharat Manufacturing Pvt Ltd,2026-08-02,177000.0,0.0,177000.0,INR,Captured
PG-8022,INV1022,Zenith Consumer Products,2026-08-11,147500.0,0.0,147500.0,INR,Captured
PG-8023,INV1023,Orion Industrial Holdings,2026-08-21,53100.0,0.0,53100.0,INR,Captured
PG-8523,INV1023,Orion Industrial Holdings,2026-08-22,35400.0,0.0,35400.0,INR,Captured
PG-8024,INV1024,Orion Industrial Holdings,2026-08-17,236000.0,0.0,236000.0,INR,Captured
PG-8025,INV1025,Bharat Manufacturing Pvt Ltd,2026-08-06,236000.0,0.0,236000.0,INR,Captured
PG-8026,INV1026,Apex Infrastructure Ltd,2026-08-14,295000.0,0.0,295000.0,INR,Captured
PG-8027,INV1027,Bharat Manufacturing Pvt Ltd,2026-08-06,236000.0,0.0,236000.0,INR,Captured
PG-8028,INV1028,Orion Industrial Holdings,2026-08-10,115640.0,0.0,115640.0,INR,Captured
PG-8029,INV1029,Nova Retail Solutions,2026-08-16,88500.0,0.0,88500.0,INR,Captured
PG-8030,INV1030,BlueSky Logistics India,2026-08-14,53100.0,0.0,53100.0,INR,Captured
PG-8031,INV1031,Bharat Manufacturing Pvt Ltd,2026-08-02,29500.0,0.0,29500.0,INR,Captured
PG-8032,INV1032,Orion Industrial Holdings,2026-08-09,236000.0,0.0,236000.0,INR,Captured
PG-8033,INV1033,BlueSky Logistics India,2026-08-07,236000.0,0.0,236000.0,INR,Captured
PG-8034,INV1034,Nova Retail Solutions,2026-08-16,29500.0,0.0,29500.0,INR,Captured
PG-8035,INV1035,Vertex Tech India,2026-08-18,147500.0,0.0,147500.0,INR,Captured
PG-8036,INV1036,Zenith Consumer Products,2026-08-17,88500.0,0.0,88500.0,INR,Captured
PG-8037,INV1037,Vertex Tech India,2026-08-07,29500.0,0.0,29500.0,INR,Captured
PG-8038,INV1038,Global Components Pvt Ltd,2026-08-05,29500.0,0.0,29500.0,INR,Captured
PG-8039,INV1039,Zenith Consumer Products,2026-08-17,88500.0,0.0,88500.0,INR,Captured
PG-8040,INV1040,Zenith Consumer Products,2026-08-03,88500.0,0.0,88500.0,INR,Captured
PG-8041,INV1041,Meridian Energy Services,2026-08-06,115640.0,0.0,115640.0,INR,Captured
PG-8042,INV1042,Bharat Manufacturing Pvt Ltd,2026-08-19,115640.0,0.0,115640.0,INR,Captured
PG-8043,INV1043,Meridian Energy Services,2026-08-08,236000.0,0.0,236000.0,INR,Captured
PG-8044,INV1044,Orion Industrial Holdings,2026-08-13,115640.0,0.0,115640.0,INR,Captured
PG-8045,INV1045,Apex Infrastructure Ltd,2026-08-08,147500.0,0.0,147500.0,INR,Captured
PG-8046,INV1046,Global Components Pvt Ltd,2026-08-06,29500.0,0.0,29500.0,INR,Captured
PG-8047,INV1047,Meridian Energy Services,2026-08-19,53100.0,0.0,53100.0,INR,Captured
PG-8048,INV1048,Zenith Consumer Products,2026-08-08,147500.0,0.0,147500.0,INR,Captured
PG-8049,INV1049,Global Components Pvt Ltd,2026-08-05,69384.0,0.0,69384.0,INR,Captured
PG-8549,INV1049,Global Components Pvt Ltd,2026-08-06,46256.0,0.0,46256.0,INR,Captured
PG-8050,INV1050,Vertex Technologies India,2026-08-08,295000.0,0.0,295000.0,INR,Captured
PG-8051,INV1051,Meridian Energy Services,2026-08-23,29500.0,0.0,29500.0,INR,Captured
PG-8052,INV1052,Bharat Manufacturing Pvt Ltd,2026-08-05,147500.0,0.0,147500.0,INR,Captured
PG-8053,INV1053,Bharat Manufacturing Pvt Ltd,2026-08-20,88500.0,0.0,88500.0,INR,Captured
PG-8054,INV1054,Vertex Technologies India,2026-08-22,115640.0,2891.0,112749.0,INR,Captured
PG-8055,INV1055,Orion Industrial Holdings,2026-08-24,147500.0,0.0,147500.0,INR,Captured
PG-8056,INV1056,Vertex Technologies India,2026-08-05,53100.0,0.0,53100.0,INR,Captured
PG-8057,INV1057,Vertex Technologies India,2026-08-04,29500.0,737.5,28762.5,INR,Captured
PG-8058,INV1058,Vertex Technologies India,2026-08-09,295000.0,0.0,295000.0,INR,Captured
PG-8059,INV1059,Zenith Consumer Products,2026-08-01,53100.0,0.0,53100.0,INR,Captured
PG-8060,INV1060,Nova Retail Solutions,2026-08-20,29500.0,0.0,29500.0,INR,Captured
PG-8061,INV1061,Meridian Energy Services,2026-08-21,88500.0,0.0,88500.0,INR,Captured
PG-8062,INV1062,Nova Retail Solutions,2026-08-04,147500.0,0.0,147500.0,INR,Captured
PG-8063,INV1063,Acme Industries Limited,2026-08-13,115640.0,0.0,115640.0,INR,Captured
PG-8064,INV1064,Bharat Manufacturing Pvt Ltd,2026-08-13,236000.0,0.0,236000.0,INR,Captured
PG-8065,INV1065,Orion Industrial Holdings,2026-08-09,88500.0,0.0,88500.0,INR,Captured
PG-8066,INV1066,Acme Industries Limited,2026-08-09,177000.0,0.0,177000.0,INR,Captured
PG-8067,INV1067,Orion Industrial Holdings,2026-08-09,88500.0,0.0,88500.0,INR,Captured
PG-8068,INV1068,Apex Infrastructure Ltd,2026-08-03,295000.0,0.0,295000.0,INR,Captured
PG-8069,INV1069,Orion Industrial Holdings,2026-08-17,177000.0,0.0,177000.0,INR,Captured
PG-8070,INV1070,Orion Industrial Holdings,2026-08-09,29500.0,0.0,29500.0,INR,Captured
PG-8071,INV1071,Apex Infrastructure Ltd,2026-08-11,147500.0,0.0,147500.0,INR,Captured
PG-8072,INV1072,Vertex Technologies India,2026-08-14,236000.0,0.0,236000.0,INR,Captured
PG-8073,INV1073,Acme Industries Limited,2026-08-05,147500.0,0.0,147500.0,INR,Captured
PG-8074,INV1074,Meridian Energy Services,2026-08-09,29500.0,0.0,29500.0,INR,Captured
PG-8075,INV1075,Meridian Energy Services,2026-08-16,177000.0,0.0,177000.0,INR,Captured
PG-8076,INV1076,Apex Infrastructure Ltd,2026-08-23,31860.0,0.0,31860.0,INR,Captured
PG-8576,INV1076,Apex Infrastructure Ltd,2026-08-24,21240.0,0.0,21240.0,INR,Captured
PG-8077,INV1077,Meridian Energy Services,2026-08-07,147500.0,0.0,147500.0,INR,Captured
PG-8078,INV1078,Apex Infrastructure Ltd,2026-08-03,115640.0,2891.0,112749.0,INR,Captured
PG-8079,INV1079,Bharat Manufacturing Pvt Ltd,2026-08-11,106200.0,0.0,106200.0,INR,Captured
PG-8579,INV1079,Bharat Manufacturing Pvt Ltd,2026-08-12,70800.0,0.0,70800.0,INR,Captured
PG-8080,INV1080,Vertex Technologies India,2026-08-20,147500.0,0.0,147500.0,INR,Captured
PG-8081,INV1081,Global Components Pvt Ltd,2026-08-14,147500.0,3687.5,143812.5,INR,Captured
PG-8082,INV1082,Orion Industrial Holdings,2026-08-15,236000.0,0.0,236000.0,INR,Captured
PG-8083,INV1083,Meridian Energy Services,2026-08-22,147500.0,0.0,147500.0,INR,Captured
PG-8084,INV1084,Zenith Consumer Products,2026-08-03,147500.0,0.0,147500.0,INR,Captured
PG-8085,INV1085,Orion Industrial Holdings,2026-08-17,177000.0,0.0,177000.0,INR,Captured
PG-8086,INV1086,BlueSky Logistics India,2026-08-18,115640.0,0.0,108140.0,INR,Captured
PG-8087,INV1087,Nova Retail Solutions,2026-08-05,147500.0,0.0,147500.0,INR,Captured
PG-8088,INV1088,Bharat Manufacturing Pvt Ltd,2026-08-09,147500.0,0.0,147500.0,INR,Captured
PG-8089,INV1089,Orion Industrial Holdings,2026-08-05,29500.0,0.0,27000.0,INR,Captured
PG-8090,INV1090,BlueSky Logistics India,2026-08-23,53100.0,0.0,53100.0,INR,Captured
PG-8091,INV1091,Apex Infrastructure Ltd,2026-08-24,115640.0,0.0,115640.0,INR,Captured
PG-8092,INV1092,BlueSky Logistics India,2026-08-14,115640.0,2891.0,112749.0,INR,Captured
PG-8093,INV1093,Acme Industries Limited,2026-08-08,236000.0,0.0,236000.0,INR,Captured
PG-8094,INV1094,Zenith Consumer Products,2026-08-16,29500.0,737.5,28762.5,INR,Captured
PG-8095,INV1095,Bharat Manufacturing Pvt Ltd,2026-08-18,88500.0,0.0,88500.0,INR,Captured
PG-8096,INV1096,Zenith Consumer Products,2026-08-21,177000.0,0.0,177000.0,INR,Captured
PG-8097,INV1097,Meridian Energy Services,2026-08-20,141600.0,0.0,141600.0,INR,Captured
PG-8597,INV1097,Meridian Energy Services,2026-08-21,94400.0,0.0,94400.0,INR,Captured
PG-8098,INV1098,Nova Retail Solutions,2026-08-20,295000.0,0.0,295000.0,INR,Captured
PG-8099,INV1099,Vertex Tech India,2026-08-18,295000.0,0.0,295000.0,INR,Captured
PG-8100,INV1100,Vertex Technologies India,2026-08-17,53100.0,0.0,53100.0,INR,Captured
PG-8101,INV1101,Orion Industrial Holdings,2026-08-11,177000.0,0.0,177000.0,INR,Captured
PG-8102,INV1102,Zenith Consumer Products,2026-08-04,88500.0,0.0,88500.0,INR,Captured
PG-8103,INV1103,Orion Industrial Holdings,2026-08-14,88500.0,2212.5,86287.5,INR,Captured
PG-8104,INV1104,Apex Infrastructure Ltd,2026-08-17,177000.0,0.0,177000.0,INR,Captured
PG-8105,INV1105,Apex Infrastructure Ltd,2026-08-05,115640.0,0.0,115640.0,INR,Captured
PG-8106,INV1106,Apex Infrastructure Ltd,2026-08-24,29500.0,0.0,29500.0,INR,Captured
PG-8107,INV1107,Acme Industries Limited,2026-08-15,147500.0,0.0,147500.0,INR,Captured
PG-8108,INV1108,Apex Infrastructure Ltd,2026-08-21,115640.0,0.0,115640.0,INR,Captured
PG-8109,INV1109,Orion Industrial Holdings,2026-08-12,236000.0,0.0,236000.0,INR,Captured
PG-8110,INV1110,Acme Industries Limited,2026-08-16,177000.0,4425.0,172575.0,INR,Captured
PG-8111,INV1111,Nova Retail Solutions,2026-08-15,88500.0,0.0,88500.0,INR,Captured
PG-8112,INV1112,Apex Infrastructure Ltd,2026-08-19,29500.0,0.0,22000.0,INR,Captured
PG-8113,INV1113,Apex Infrastructure Ltd,2026-08-06,295000.0,0.0,295000.0,INR,Captured
PG-8114,INV1114,Acme Industries Limited,2026-08-11,236000.0,0.0,236000.0,INR,Captured
PG-8115,INV1115,Orion Industrial Holdings,2026-08-17,177000.0,0.0,177000.0,INR,Captured
PG-8116,INV1116,Apex Infrastructure Ltd,2026-08-11,236000.0,0.0,236000.0,INR,Captured
PG-8117,INV1117,Bharat Manufacturing Pvt Ltd,2026-08-16,29500.0,737.5,28762.5,INR,Captured
PG-8118,INV1118,Global Components Pvt Ltd,2026-08-08,53100.0,0.0,53100.0,INR,Captured
PG-8119,INV1119,Acme Industries Limited,2026-08-08,115640.0,0.0,115640.0,INR,Captured
PG-8120,INV1120,Meridian Energy Services,2026-08-10,115640.0,0.0,115640.0,INR,Captured
